"","division","season","year","sex","cw","mature","ncrab","tows","ncrabS","npt","nptS"
"60","2HJ","Fall",1995,1,67,"Mat",1,116,2.06260357409988,0.00862068965517241,0.0177810652939645
"61","2HJ","Fall",1995,1,67,"Unk",1,116,2.06260357409988,0.00862068965517241,0.0177810652939645
"62","2HJ","Fall",1995,1,68,"Imm",2,116,4.10463458413621,0.0172413793103448,0.0353847808977259
"63","2HJ","Fall",1995,1,68,"Mat",1,116,2.0523172920681,0.00862068965517241,0.017692390448863
"64","2HJ","Fall",1995,1,69,"Imm",4,116,8.16857415637677,0.0344827586206897,0.0704187427273859
"65","2HJ","Fall",1995,1,69,"Mat",2,116,4.08428707818839,0.0172413793103448,0.035209371363693
"66","2HJ","Fall",1995,1,70,"Imm",4,116,8.1283243365665,0.0344827586206897,0.070071761522125
"67","2HJ","Fall",1995,1,70,"Mat",1,116,2.03208108414162,0.00862068965517241,0.0175179403805312
"68","2HJ","Fall",1995,1,70,"Unk",2,116,4.06416216828325,0.0172413793103448,0.0350358807610625
"69","2HJ","Fall",1995,1,71,"Imm",4,116,8.08851483856429,0.0344827586206897,0.0697285761945197
"70","2HJ","Fall",1995,1,71,"Mat",1,116,2.02212870964107,0.00862068965517241,0.0174321440486299
"71","2HJ","Fall",1995,1,72,"Imm",5,116,10.0614260567154,0.0431034482758621,0.0867364315234086
"72","2HJ","Fall",1995,1,72,"Mat",1,116,2.01228521134308,0.00862068965517241,0.0173472863046817
"73","2HJ","Fall",1995,1,73,"Imm",3,116,6.00764819451703,0.0258620689655172,0.0517900706423882
"74","2HJ","Fall",1995,1,73,"Unk",1,116,2.00254939817234,0.00862068965517241,0.0172633568807961
"75","2HJ","Fall",1995,1,74,"Imm",7,116,13.9504406445851,0.0603448275862069,0.120262419349872
"76","2HJ","Fall",1995,1,75,"Imm",3,116,5.95018838375709,0.0258620689655172,0.0512947274461818
"77","2HJ","Fall",1995,1,75,"Mat",3,116,5.95018838375709,0.0258620689655172,0.0512947274461818
"78","2HJ","Fall",1995,1,76,"Imm",3,116,5.92192905980216,0.0258620689655172,0.0510511125845014
"79","2HJ","Fall",1995,1,76,"Unk",1,116,1.97397635326739,0.00862068965517241,0.0170170375281671
"80","2HJ","Fall",1995,1,77,"Imm",4,116,7.85863851329773,0.0344827586206897,0.0677468837353252
"81","2HJ","Fall",1995,1,77,"Mat",1,116,1.96465962832443,0.00862068965517241,0.0169367209338313
"82","2HJ","Fall",1995,1,78,"Imm",2,116,3.91088965151016,0.0172413793103448,0.0337145659612944
